NRS_CODE,STATION,SAMPLE_DATE_UTC,T_COP_ABUN_M3,COP_AVG_MM,HERB_CARN_RAT,COPES_SAMPLES,COPE_DIVERSITY,COPE_EVEN,CARBON_MGM3
DAR20110627,DAR,27/6/11 4:18,2156.9337,0.82709,0.928,32,207.50154,59.87229,1.7733
DAR20111005,DAR,5/10/11 0:01,356.5787,0.60775,0.97,28,226.92023,68.09913,0.4326
DAR20120114_21:30,DAR,14/1/12 21:30,7237.1163,0.61195,0.96,25,106.40507,33.05659,12.6893
DAR20120417,DAR,17/4/12 0:12,10520.5462,0.65083,0.947,26,116.97951,35.90425,8.7363
DAR20120730_01:30,DAR,30/7/12 1:30,4645.4362,0.65351,0.949,26,130.29305,39.99054,10.0183
DAR20121029,DAR,29/10/12 22:21,528.6615,0.61951,0.972,24,86.31062,27.15832,15.5547
DAR20121209_03:00,DAR,9/12/12 3:00,8722.9174,0.8117,0.962,29,115.64374,34.34321,4.1302
DAR20130405,DAR,5/4/13 0:10,4117.2842,0.69456,0.928,20,142.71622,47.63984,1.0196
DAR20130617_08:00,DAR,17/6/13 8:00,2019.2891,0.58571,0.954,25,191.32987,59.43997,3.7928
DAR20130617_15:00,DAR,17/6/13 15:00,4243.5817,0.70032,0.956,43,181.51296,48.25932,7.6485
DAR20130916,DAR,16/9/13 1:56,7450.379,0.6091,0.944,25,139.98832,43.48982,10.6483
DAR20140117_19:50,DAR,17/1/14 19:50,7713.5936,0.7618,0.944,27,124.8564,37.88306,0.4544
DAR20140403,DAR,3/4/14 22:33,12508.0877,0.56208,0.984,27,164.9641,50.05227,22.6371
DAR20140702,DAR,2/7/14 23:38,2924.8296,0.63451,0.931,22,217.05049,70.21919,10.0467
DAR20140906_00:30,DAR,6/9/14 0:30,4204.2891,0.58012,0.947,26,150.28811,46.12758,14.0295
DAR20141130,DAR,30/11/14 21:48,4322.1662,0.57009,0.96,20,103.05443,34.40041,9.2242
DAR20150203_00:30,DAR,3/2/15 0:30,16759.0725,0.7515,0.969,28,98.48914,29.55675,15.7415
DAR20150316,DAR,16/3/15 23:05,3456.7509,0.63471,0.981,21,94.51378,31.04388,11.9415
DAR20150505,DAR,5/5/15 22:54,5053.0058,0.60208,0.969,27,133.74714,40.58063,9.8847
DAR20150804_04:30,DAR,4/8/15 4:30,4088.8676,0.66765,0.97,23,112.59207,35.90888,6.6125
DAR20151117,DAR,17/11/15 22:46,2363.0919,0.52574,0.971,23,99.77317,31.82055,3.9383
DAR20160201_2130,DAR,1/2/16 21:30,3237.0909,0.58666,0.964,21,85.22285,27.99219,6.5741
DAR20160530,DAR,30/5/16 22:20,11127.6142,0.6218,0.989,20,83.09131,27.73656,9.4781
DAR20160724_0730,DAR,24/7/16 7:30,6031.3865,0.6157,0.974,23,99.47994,31.72704,10.0515
DAR20161107,DAR,7/11/16 22:41,6431.6785,0.58648,0.93,18,86.85499,30.04976,7.1087
DAR20170203_0630,DAR,3/2/17 6:30,4992.449,0.67856,0.917,27,140.09934,42.50797,15.4891
DAR20170516,DAR,16/5/17 23:17,7967.1164,0.68573,0.972,20,100.13812,33.42693,18.9634
DAR20170715_0630,DAR,15/7/17 6:30,4862.4372,0.57391,0.927,21,106.53846,34.99349,45.093
DAR20171009,DAR,9/10/17 22:27,2674.3407,0.64112,0.971,18,74.55647,25.79477,28.6859
ESP20090512,ESP,12/5/09 4:10,2546.1491,0.86918,0.949,24,90.23774,28.39402,7.733
ESP20090623,ESP,23/6/09 1:20,3292.7053,0.77901,0.952,27,123.90756,37.59517,3.349
ESP20090917,ESP,17/9/09 1:40,864.4336,0.77967,0.929,24,248.91832,78.32414,2.5065
ESP20091216,ESP,16/12/09 1:45,2660.0968,0.691,0.966,20,127.6199,42.60057,2.3392
ESP20100322,ESP,22/3/10 1:40,3709.205,0.62952,0.98,18,69.28262,23.97014,3.9389
ESP20100629,ESP,29/6/10 2:05,1445.9616,0.83524,0.956,33,316.0607,90.39325,2.2835
ESP20101013,ESP,13/10/10 0:15,1329.3933,0.5643,0.94,26,226.22927,69.43602,1.3109
ESP20110120,ESP,20/1/11 0:50,2204.3044,0.74055,0.998,33,201.96852,57.76293,1.1623
ESP20110512,ESP,12/5/11 2:10,7017.6275,0.6192,0.948,43,165.96424,44.12534,4.5348
ESP20110818,ESP,18/8/11 2:20,1191.8704,0.65818,0.933,34,324.11009,91.91065,2.0077
ESP20111130,ESP,30/11/11 6:38,6978.3347,0.7915,0.999,25,95.22183,29.58232,3.5955
ESP20120309,ESP,9/3/12 1:34,8385.0034,0.69214,0.976,45,183.54107,48.21575,7.6793
ESP20120612,ESP,12/6/12 1:24,1834.9557,0.73336,0.973,42,278.74034,74.57597,3.1077
ESP20120910,ESP,10/9/12 4:51,1567.7673,0.69935,0.939,36,251.8317,70.27497,2.0937
ESP20121212,ESP,12/12/12 1:10,3072.6676,0.67281,0.981,25,102.79702,31.93569,1.8509
ESP20130314,ESP,14/3/13 1:24,2931.2152,0.60027,0.99,36,173.15484,48.31978,4.5934
