Latitude,Longitude,Year,Month,Day,sea_surface_temperature,GSLA,chl_oc3
-42.59667,148.23333,2009,4,21,NA,0.0678427280911907,NA
-42.59667,148.23333,2009,5,6,NA,0.06401472423171414,NA
-42.59667,148.23333,2009,6,1,NA,0.061748470236369465,NA
-42.59667,148.23333,2009,7,16,27.971687605252725,0.011518601084163473,NA
-42.59667,148.23333,2009,8,20,26.074954073224262,0.01690849672880888,NA
-42.59667,148.23333,2009,9,7,NA,0.021380237607176708,NA
-42.59667,148.23333,2009,10,13,NA,0.021642313251121027,NA
-42.59667,148.23333,2009,11,11,NA,0.014517321599249788,NA
-42.59667,148.23333,2009,12,7,NA,0.010435141895627453,NA
-42.59667,148.23333,2010,1,20,28.551676788777115,0.052455519624732085,NA
-42.59667,148.23333,2010,3,30,NA,0.034397428267692105,NA
-42.59667,148.23333,2010,5,5,NA,0.03721619472462559,NA
-42.59667,148.23333,2010,5,27,NA,0.04781501744863715,0.19748440103486498
-42.59667,148.23333,2010,6,15,29.06941108760958,0.02633533232620715,NA
-42.59667,148.23333,2010,7,22,27.720541137280975,0.042915895921252,NA
-42.59667,148.23333,2010,10,1,28.124687801953428,0.032914359852075234,NA
-42.59667,148.23333,2010,10,27,NA,0.022826088672356176,0.4611712768673897
-42.59667,148.23333,2010,12,14,NA,0.010294285087137544,NA
-42.59667,148.23333,2011,1,18,29.293366051385476,0.011693025952839666,0.20074620172381402
-42.59667,148.23333,2011,2,23,NA,0.05635223527814626,0.3255472369492054
-42.59667,148.23333,2011,3,28,NA,0.03361447122605623,NA
-42.59667,148.23333,2011,4,7,NA,0.02343109889798472,NA
-42.59667,148.23333,2011,5,31,27.561294842107884,0.06261789421418922,NA
-42.59667,148.23333,2011,7,25,25.978255744549358,0.03260794640447008,NA
-42.59667,148.23333,2011,8,12,27.276336160550557,0.010057389545586331,NA
-42.59667,148.23333,2011,10,5,NA,0.018344378590361532,NA
-42.59667,148.23333,2011,10,26,29.195843083467366,0.031040751199961802,0.144124587275544
-42.59667,148.23333,2011,12,14,NA,0.03336458702457512,NA
-42.59667,148.23333,2012,1,19,NA,0.046991717100106994,NA
-42.59667,148.23333,2012,2,22,NA,0.05625410098728885,0.18514290941613062
-42.59667,148.23333,2012,3,26,NA,0.07450366959534642,NA
-42.59667,148.23333,2012,4,12,NA,0.06419783808275102,NA
-42.59667,148.23333,2012,5,24,NA,0.06838363290837617,NA
-42.59667,148.23333,2012,6,21,NA,0.030397681809947386,NA
-42.59667,148.23333,2012,7,24,24.970660320708646,0.017435972394783825,NA
-42.59667,148.23333,2012,8,20,NA,0.013962431141562266,0.14017828897787973
-42.59667,148.23333,2012,10,2,NA,0.013541136592981033,NA
-42.59667,148.23333,2012,10,17,NA,0.02914986003658886,NA
-42.59667,148.23333,2012,11,12,27.9060122728348,0.06316493606430411,NA
